"time","y","z"
0,20,0
0.02,20,-0.196133
0.02,20,-0.196133
0.04,19.99607734,-0.392266
0.06,19.98823202,-0.5883989999999999
0.08,19.97646404,-0.7845319999999999
0.1,19.9607734,-0.9806649999999999
0.12,19.9411601,-1.176798
0.14,19.91762414,-1.372931
0.16,19.89016552,-1.569064
0.18,19.85878424,-1.765197
0.2,19.8234803,-1.96133
0.22,19.7842537,-2.157463
0.24,19.74110444,-2.353596
0.26,19.69403252,-2.549729
0.28,19.64303794,-2.745862
0.3,19.5881207,-2.941994999999999
0.32,19.5292808,-3.138128
0.34,19.46651824,-3.334261
0.36,19.39983302,-3.530393999999999
0.38,19.32922514,-3.726526999999999
0.4,19.2546946,-3.92266
0.42,19.1762414,-4.118792999999999
0.44,19.09386554,-4.314926
0.46,19.00756702,-4.511059
0.48,18.91734584,-4.707192
0.5,18.823202,-4.903325000000001
0.52,18.7251355,-5.099458000000001
0.54,18.62314634,-5.295591000000002
0.5600000000000001,18.51723452,-5.491724000000002
0.58,18.40740004,-5.687857000000001
0.6,18.2936429,-5.883990000000002
0.62,18.1759631,-6.080123000000002
0.64,18.05436064,-6.276256000000003
0.66,17.92883552,-6.472389000000003
0.68,17.79938774,-6.668522000000004
0.7000000000000001,17.6660173,-6.864655000000004
0.72,17.5287242,-7.060788000000003
0.74,17.38750844,-7.256921000000004
0.76,17.24237002,-7.453054000000004
0.78,17.09330894,-7.649187000000005
0.8,16.9403252,-7.845320000000005
0.8200000000000001,16.7834188,-8.041453000000006
0.84,16.62258974,-8.237586000000006
0.86,16.45783802,-8.433719000000005
0.88,16.28916364,-8.629852000000005
0.9,16.1165666,-8.825985000000005
0.92,15.9400469,-9.022118000000004
0.9400000000000001,15.75960454,-9.218251000000004
0.96,15.57523952,-9.414384000000004
0.98,15.38695184,-9.610517000000003
1,15.1947415,-9.806650000000003
1.02,14.9986085,-10.002783
1.04,14.79855284,-10.198916
1.06,14.59457452,-10.395049
1.08,14.38667354,-10.591182
1.1,14.1748499,-10.787315
1.12,13.9591036,-10.983448
1.14,13.73943464,-11.179581
1.16,13.51584302,-11.375714
1.18,13.28832874,-11.571847
1.2,13.0568918,-11.76798
1.22,12.8215322,-11.964113
1.24,12.58224994,-12.160246
1.26,12.33904502,-12.356379
1.28,12.09191744,-12.552512
1.3,11.8408672,-12.748645
1.32,11.5858943,-12.944778
1.34,11.32699874,-13.140911
1.36,11.06418052,-13.337044
1.38,10.79743964,-13.53317699999999
1.4,10.5267761,-13.72930999999999
1.42,10.2521899,-13.92544299999999
1.44,9.973681039999999,-14.12157599999999
1.46,9.69124952,-14.31770899999999
1.48,9.404895339999999,-14.51384199999999
1.5,9.114618499999999,-14.70997499999999
1.52,8.820418999999999,-14.90610799999999
1.54,8.522296839999999,-15.10224099999999
1.56,8.220252019999998,-15.29837399999999
1.58,7.914284539999999,-15.49450699999999
1.6,7.604394399999999,-15.69063999999999
1.62,7.290581599999999,-15.88677299999999
1.64,6.972846139999999,-16.08290599999999
1.66,6.651188019999998,-16.27903899999999
1.68,6.325607240000002,-16.47517199999999
1.7,5.996103800000002,-16.67130499999999
1.72,5.662677700000001,-16.86743799999999
1.74,5.325328940000001,-17.06357099999999
1.76,4.984057520000001,-17.25970399999999
1.78,4.638863440000002,-17.45583699999999
1.8,4.289746700000001,-17.65196999999999
1.82,3.936707300000001,-17.84810299999999
1.84,3.579745240000001,-18.04423599999999
1.86,3.218860520000001,-18.24036899999999
1.88,2.854053140000001,-18.43650199999999
1.9,2.485323100000001,-18.63263499999999
1.92,2.112670400000005,-18.82876799999999
1.94,1.736095040000005,-19.02490099999999
1.96,1.355597020000005,-19.22103399999999
1.98,0.9711763400000049,-19.41716699999998
2,0.5828330000000048,-19.61329999999998
2.02,0.1905670000000048,-19.80943299999998
2.04,-0.2056216599999953,-20.00556599999998
2.04,-0.2056216599999953,15.00417449999999
2.06,0.09446183000000474,14.80804149999999
2.06,0.09446183000000474,14.80804149999999
2.08,0.3906226600000047,14.61190849999999
2.1,0.6828608300000047,14.41577549999999
2.12,0.9711763400000047,14.21964249999999
2.14,1.255569190000005,14.02350949999999
2.16,1.536039380000005,13.82737649999999
2.18,1.812586910000005,13.63124349999999
2.2,2.085211780000005,13.43511049999999
2.22,2.353913990000005,13.23897749999999
2.24,2.618693540000005,13.04284449999999
2.26,2.879550430000005,12.84671149999999
2.28,3.136484660000005,12.65057849999999
2.3,3.389496230000005,12.45444549999999
2.32,3.63858514,12.2583125
2.34,3.88375139,12.0621795
2.36,4.124994979999999,11.8660465
2.38,4.36231591,11.6699135
2.4,4.59571418,11.4737805
2.42,4.82518979,11.2776475
2.44,5.05074274,11.0815145
2.46,5.27237303,10.8853815
2.48,5.49008066,10.6892485
2.5,5.70386563,10.4931155
2.52,5.91372794,10.2969825
2.54,6.119667590000001,10.1008495
2.56,6.32168458,9.904716499999999
2.58,6.51977891,9.7085835
2.6,6.713950580000001,9.5124505
2.62,6.904199590000001,9.3163175
2.64,7.090525940000001,9.120184500000001
2.66,7.272929630000001,8.924051500000001
2.68,7.451410660000001,8.727918500000001
2.7,7.625969030000002,8.531785500000002
2.72,7.796604740000002,8.335652500000002
2.74,7.963317790000002,8.139519500000002
2.76,8.126108180000003,7.943386500000002
2.78,8.284975910000004,7.747253500000001
2.8,8.439920980000004,7.551120500000001
2.82,8.59094339,7.354987500000004
2.84,8.73804314,7.158854500000004
2.86,8.88122023,6.962721500000003
2.88,9.02047466,6.766588500000003
2.9,9.15580643,6.570455500000002
2.92,9.28721554,6.374322500000002
2.94,9.414701990000001,6.178189500000001
2.96,9.538265780000001,5.982056500000001
2.98,9.657906910000001,5.7859235
3,9.773625380000002,5.589790499999999
