"time","y","z"
0.0000000000000000E+000,2.0000000000000000E+001,0.0000000000000000E+000
2.0000000000000000E-002,1.9997965557211295E+001,-1.9613299999999997E-001
4.0000000000000001E-002,1.9992084092353068E+001,-3.9226600000000000E-001
6.0000000000000005E-002,1.9982290629996559E+001,-5.8839900000000001E-001
8.0000000000000002E-002,1.9968565473359810E+001,-7.8453200000000001E-001
1.0999999999999999E-001,1.9940616204617484E+001,-1.0787314999999997E+000
1.2999999999999998E-001,1.9917071316060650E+001,-1.2748644999999996E+000
1.4999999999999999E-001,1.9889585709030925E+001,-1.4709975000000000E+000
1.6000000000000000E-001,1.9874361082729127E+001,-1.5690640000000000E+000
1.8000000000000002E-001,1.9840990699258157E+001,-1.7651969999999999E+000
2.0000000000000004E-001,1.9803706915807986E+001,-1.9613300000000002E+000
2.2000000000000006E-001,1.9762515368708829E+001,-2.1574629999999999E+000
2.4000000000000007E-001,1.9717394438913971E+001,-2.3535960000000000E+000
2.6000000000000006E-001,1.9668353902719883E+001,-2.5497290000000001E+000
2.8000000000000008E-001,1.9615393760126576E+001,-2.7458620000000002E+000
3.0000000000000010E-001,1.9558513341042158E+001,-2.9419950000000004E+000
3.2000000000000012E-001,1.9497707872163527E+001,-3.1381280000000005E+000
3.4000000000000014E-001,1.9432980436287501E+001,-3.3342610000000006E+000
3.6000000000000015E-001,1.9364331033414071E+001,-3.5303940000000011E+000
3.8000000000000017E-001,1.9291759663543246E+001,-3.7265270000000008E+000
4.0000000000000019E-001,1.9215266326675021E+001,-3.9226600000000014E+000
4.2000000000000021E-001,1.9134851022809393E+001,-4.1187930000000010E+000
4.4000000000000022E-001,1.9050513153559475E+001,-4.3149260000000016E+000
4.6000000000000024E-001,1.8962252966090436E+001,-4.5110590000000022E+000
4.8000000000000026E-001,1.8870070448934925E+001,-4.7071920000000018E+000
5.0000000000000022E-001,1.8773965552870166E+001,-4.9033250000000015E+000
5.2000000000000024E-001,1.8673938228673379E+001,-5.0994580000000020E+000
5.4000000000000026E-001,1.8569988427121782E+001,-5.2955910000000017E+000
5.6000000000000028E-001,1.8462116098992592E+001,-5.4917240000000023E+000
5.8000000000000029E-001,1.8350321078993048E+001,-5.6878570000000019E+000
6.0000000000000031E-001,1.8234602672437124E+001,-5.8839900000000025E+000
6.2000000000000033E-001,1.8114961561113837E+001,-6.0801230000000022E+000
6.4000000000000035E-001,1.7991397745023189E+001,-6.2762560000000027E+000
6.6000000000000036E-001,1.7863911224165179E+001,-6.4723890000000033E+000
6.8000000000000038E-001,1.7732501998539806E+001,-6.6685220000000029E+000
7.0000000000000040E-001,1.7597170068147072E+001,-6.8646550000000035E+000
7.2000000000000042E-001,1.7457915432986976E+001,-7.0607880000000032E+000
7.4000000000000044E-001,1.7314738093059514E+001,-7.2569210000000037E+000
7.6000000000000045E-001,1.7167638048364697E+001,-7.4530540000000034E+000
7.8000000000000047E-001,1.7016615298902511E+001,-7.6491870000000040E+000
