"time","y","z"
0.0000000000000000E+000,2.0000000000000000E+001,0.0000000000000000E+000
2.0000000000000000E-002,1.9999019335000000E+001,-1.9613300000000000E-001
4.0000000000000001E-002,1.9994116009999999E+001,-3.9226599999999995E-001
6.0000000000000005E-002,1.9985290024999998E+001,-5.8839900000000001E-001
8.0000000000000002E-002,1.9972541379999996E+001,-7.8453200000000001E-001
1.0999999999999999E-001,1.9946063424999991E+001,-1.0787315000000000E+000
1.2999999999999998E-001,1.9923508129999991E+001,-1.2748644999999996E+000
1.4999999999999999E-001,1.9897030174999994E+001,-1.4709974999999997E+000
1.6000000000000000E-001,1.9882320199999995E+001,-1.5690639999999998E+000
1.8000000000000002E-001,1.9849958254999997E+001,-1.7651969999999999E+000
2.0000000000000004E-001,1.9813673649999998E+001,-1.9613300000000000E+000
2.2000000000000006E-001,1.9773466384999999E+001,-2.1574630000000004E+000
2.4000000000000007E-001,1.9729336459999999E+001,-2.3535960000000009E+000
2.6000000000000006E-001,1.9681283874999998E+001,-2.5497290000000010E+000
2.8000000000000008E-001,1.9629308629999997E+001,-2.7458620000000016E+000
3.0000000000000010E-001,1.9573410724999995E+001,-2.9419950000000021E+000
3.2000000000000012E-001,1.9513590159999993E+001,-3.1381280000000027E+000
3.4000000000000014E-001,1.9449846934999989E+001,-3.3342610000000032E+000
3.6000000000000015E-001,1.9382181049999989E+001,-3.5303940000000038E+000
3.8000000000000017E-001,1.9310592504999992E+001,-3.7265270000000044E+000
4.0000000000000019E-001,1.9235081299999994E+001,-3.9226600000000049E+000
4.2000000000000021E-001,1.9155647434999995E+001,-4.1187930000000046E+000
4.4000000000000022E-001,1.9072290909999996E+001,-4.3149260000000043E+000
4.6000000000000024E-001,1.8985011724999996E+001,-4.5110590000000039E+000
4.8000000000000026E-001,1.8893809879999996E+001,-4.7071920000000036E+000
5.0000000000000022E-001,1.8798685374999994E+001,-4.9033250000000033E+000
5.2000000000000024E-001,1.8699638209999993E+001,-5.0994580000000029E+000
5.4000000000000026E-001,1.8596668384999990E+001,-5.2955910000000026E+000
5.6000000000000028E-001,1.8489775899999987E+001,-5.4917240000000023E+000
5.8000000000000029E-001,1.8378960754999987E+001,-5.6878570000000019E+000
6.0000000000000031E-001,1.8264222949999990E+001,-5.8839900000000016E+000
6.2000000000000033E-001,1.8145562484999992E+001,-6.0801230000000013E+000
6.4000000000000035E-001,1.8022979359999994E+001,-6.2762560000000009E+000
6.6000000000000036E-001,1.7896473574999995E+001,-6.4723890000000006E+000
6.8000000000000038E-001,1.7766045129999995E+001,-6.6685220000000003E+000
7.0000000000000040E-001,1.7631694024999994E+001,-6.8646550000000000E+000
7.2000000000000042E-001,1.7493420259999994E+001,-7.0607879999999996E+000
7.4000000000000044E-001,1.7351223834999992E+001,-7.2569209999999993E+000
7.6000000000000045E-001,1.7205104749999990E+001,-7.4530539999999990E+000
7.8000000000000047E-001,1.7055063004999987E+001,-7.6491869999999986E+000
8.0000000000000049E-001,1.6901098599999987E+001,-7.8453199999999983E+000
8.2000000000000051E-001,1.6743211534999990E+001,-8.0414529999999989E+000
8.4000000000000052E-001,1.6581401809999992E+001,-8.2375859999999985E+000
8.6000000000000054E-001,1.6415669424999994E+001,-8.4337189999999982E+000
8.8000000000000056E-001,1.6246014379999995E+001,-8.6298519999999979E+000
9.0000000000000058E-001,1.6072436674999995E+001,-8.8259849999999975E+000
9.2000000000000060E-001,1.5894936309999995E+001,-9.0221179999999972E+000
9.4000000000000061E-001,1.5713513284999994E+001,-9.2182509999999969E+000
9.6000000000000063E-001,1.5528167599999993E+001,-9.4143839999999965E+000
9.8000000000000065E-001,1.5338899254999994E+001,-9.6105169999999962E+000
1.0000000000000007E+000,1.5145708249999995E+001,-9.8066499999999959E+000
1.0200000000000007E+000,1.4948594584999995E+001,-1.0002782999999996E+001
1.0400000000000007E+000,1.4747558259999995E+001,-1.0198915999999995E+001
1.0600000000000007E+000,1.4542599274999993E+001,-1.0395048999999995E+001
1.0800000000000007E+000,1.4333717629999994E+001,-1.0591181999999995E+001
1.1000000000000008E+000,1.4120913324999995E+001,-1.0787314999999994E+001
1.1200000000000008E+000,1.3904186359999995E+001,-1.0983447999999994E+001
1.1400000000000008E+000,1.3683536734999995E+001,-1.1179580999999994E+001
1.1600000000000008E+000,1.3458964449999995E+001,-1.1375713999999993E+001
1.1800000000000008E+000,1.3230469504999993E+001,-1.1571846999999993E+001
1.2000000000000008E+000,1.2998051899999993E+001,-1.1767979999999993E+001
1.2200000000000009E+000,1.2761711634999994E+001,-1.1964112999999992E+001
1.2400000000000009E+000,1.2521448709999994E+001,-1.2160245999999992E+001
1.2600000000000009E+000,1.2277263124999994E+001,-1.2356378999999992E+001
1.2800000000000009E+000,1.2029154879999993E+001,-1.2552511999999991E+001
1.3000000000000009E+000,1.1777123974999991E+001,-1.2748644999999991E+001
1.3200000000000010E+000,1.1521170409999993E+001,-1.2944777999999991E+001
1.3400000000000010E+000,1.1261294184999993E+001,-1.3140910999999990E+001
1.3600000000000010E+000,1.0997495299999994E+001,-1.3337043999999990E+001
1.3800000000000010E+000,1.0729773754999993E+001,-1.3533176999999990E+001
1.4000000000000010E+000,1.0458129549999992E+001,-1.3729309999999989E+001
1.4200000000000010E+000,1.0182562684999992E+001,-1.3925442999999989E+001
1.4400000000000011E+000,9.9030731599999928E+000,-1.4121575999999989E+001
1.4600000000000011E+000,9.6196609749999933E+000,-1.4317708999999988E+001
1.4800000000000011E+000,9.3323261299999931E+000,-1.4513841999999988E+001
1.5000000000000011E+000,9.0410686249999923E+000,-1.4709974999999988E+001
1.5200000000000011E+000,8.7458884599999909E+000,-1.4906107999999987E+001
1.5400000000000011E+000,8.4467856349999924E+000,-1.5102240999999987E+001
1.5600000000000012E+000,8.1437601499999932E+000,-1.5298373999999987E+001
1.5800000000000012E+000,7.8368120049999934E+000,-1.5494506999999986E+001
1.6000000000000012E+000,7.5259411999999930E+000,-1.5690639999999986E+001
1.6200000000000012E+000,7.2111477349999928E+000,-1.5886772999999986E+001
1.6400000000000012E+000,6.8924316099999929E+000,-1.6082905999999987E+001
1.6600000000000013E+000,6.5697928249999924E+000,-1.6279038999999990E+001
1.6800000000000013E+000,6.2432313799999930E+000,-1.6475171999999993E+001
1.7000000000000013E+000,5.9127472749999930E+000,-1.6671304999999997E+001
1.7200000000000013E+000,5.5783405099999923E+000,-1.6867438000000000E+001
1.7400000000000013E+000,5.2400110849999919E+000,-1.7063571000000003E+001
1.7600000000000013E+000,4.8977589999999918E+000,-1.7259704000000006E+001
1.7800000000000014E+000,4.5515842549999910E+000,-1.7455837000000010E+001
1.8000000000000014E+000,4.2014868499999904E+000,-1.7651970000000013E+001
1.8200000000000014E+000,3.8474667849999902E+000,-1.7848103000000016E+001
1.8400000000000014E+000,3.4895240599999893E+000,-1.8044236000000019E+001
1.8600000000000014E+000,3.1276586749999886E+000,-1.8240369000000022E+001
1.8800000000000014E+000,2.7618706299999878E+000,-1.8436502000000026E+001
1.9000000000000015E+000,2.3921599249999868E+000,-1.8632635000000029E+001
1.9200000000000015E+000,2.0185265599999860E+000,-1.8828768000000032E+001
1.9400000000000015E+000,1.6409705349999850E+000,-1.9024901000000035E+001
1.9600000000000015E+000,1.2594918499999839E+000,-1.9221034000000039E+001
1.9800000000000015E+000,8.7409050499998275E-001,-1.9417167000000042E+001
2.0000000000000013E+000,4.8476649999998589E-001,-1.9613300000000041E+001
2.0200000000000009E+000,9.1519834999993471E-002,-1.9809433000000038E+001
2.0400000000000005E+000,4.2731751249994399E-002,1.4832558125000029E+001
2.0600000000000001E+000,3.3840224874998870E-001,1.4636425125000033E+001
2.0899999999999994E+000,7.7455300749998046E-001,1.4342225625000038E+001
2.1099999999999990E+000,1.0604168549999753E+000,1.4146092625000042E+001
2.1299999999999986E+000,1.3423580424999701E+000,1.3949959625000046E+001
2.1499999999999981E+000,1.6203765699999650E+000,1.3753826625000050E+001
2.1699999999999977E+000,1.8944724374999602E+000,1.3557693625000054E+001
2.1899999999999973E+000,2.1646456449999554E+000,1.3361560625000058E+001
2.2099999999999969E+000,2.4308961924999508E+000,1.3165427625000062E+001
2.2299999999999964E+000,2.6932240799999465E+000,1.2969294625000066E+001
2.2499999999999960E+000,2.9516293074999425E+000,1.2773161625000069E+001
2.2699999999999956E+000,3.2061118749999382E+000,1.2577028625000073E+001
2.2899999999999952E+000,3.4566717824999342E+000,1.2380895625000077E+001
2.3099999999999947E+000,3.7033090299999305E+000,1.2184762625000081E+001
2.3299999999999943E+000,3.9460236174999270E+000,1.1988629625000085E+001
2.3499999999999939E+000,4.1848155449999238E+000,1.1792496625000089E+001
2.3699999999999934E+000,4.4196848124999208E+000,1.1596363625000093E+001
2.3899999999999930E+000,4.6506314199999172E+000,1.1400230625000097E+001
2.4099999999999926E+000,4.8776553674999148E+000,1.1204097625000101E+001
2.4299999999999922E+000,5.1007566549999117E+000,1.1007964625000104E+001
2.4499999999999917E+000,5.3199352824999098E+000,1.0811831625000108E+001
2.4699999999999913E+000,5.5351912499999072E+000,1.0615698625000112E+001
2.4899999999999909E+000,5.7465245574999049E+000,1.0419565625000116E+001
2.5099999999999905E+000,5.9539352049999028E+000,1.0223432625000120E+001
2.5299999999999900E+000,6.1574231924999010E+000,1.0027299625000124E+001
2.5499999999999896E+000,6.3569885199998994E+000,9.8311666250001277E+000
2.5699999999999892E+000,6.5526311874998973E+000,9.6350336250001316E+000
2.5899999999999888E+000,6.7443511949998962E+000,9.4389006250001355E+000
2.6099999999999883E+000,6.9321485424998945E+000,9.2427676250001394E+000
