"time","J1_w","J2_w","J3_w","J4_w"
0.0000000000000000E+000,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.0000000000000001E-003,9.9709420522644763E+000,2.9999960521600061E-002,0.0000000000000000E+000,0.0000000000000000E+000
6.0000000000000001E-003,9.9447012071668812E+000,5.9999565738423563E-002,0.0000000000000000E+000,0.0000000000000000E+000
9.0000000000000011E-003,9.9212445280470991E+000,8.9998389289676101E-002,0.0000000000000000E+000,0.0000000000000000E+000
1.2000000000000004E-002,9.9005143727176979E+000,1.1999600482567245E-001,0.0000000000000000E+000,0.0000000000000000E+000
1.5000000000000006E-002,9.8824289088783193E+000,1.4999198601389596E-001,0.0000000000000000E+000,0.0000000000000000E+000
1.8000000000000009E-002,9.8668828442430740E+000,1.7998590654505772E-001,0.0000000000000000E+000,0.0000000000000000E+000
2.1000000000000012E-002,9.8537483649002127E+000,2.0997734013915523E-001,0.0000000000000000E+000,0.0000000000000000E+000
2.4000000000000014E-002,9.8428762735750901E+000,2.3996586055153094E-001,0.0000000000000000E+000,0.0000000000000000E+000
2.7000000000000017E-002,9.8340973176930575E+000,2.6995104157893007E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.0000000000000020E-002,9.8272236954542489E+000,2.9993245706555782E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.3000000000000022E-002,9.8220507265521864E+000,3.2990968090913608E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.6000000000000025E-002,9.8183586727067258E+000,3.5988228706695929E-001,0.0000000000000000E+000,0.0000000000000000E+000
3.9000000000000028E-002,9.8159146918521181E+000,3.8984984956194951E-001,0.0000000000000000E+000,0.0000000000000000E+000
4.2000000000000030E-002,9.8144749086346206E+000,4.1981194248871029E-001,0.0000000000000000E+000,0.0000000000000000E+000
4.5000000000000033E-002,9.8137865828417130E+000,4.4976814001957988E-001,0.0000000000000000E+000,0.0000000000000000E+000
4.8000000000000036E-002,9.8135903565157356E+000,4.7971801641068312E-001,0.0000000000000000E+000,0.0000000000000000E+000
5.1000000000000038E-002,9.8136225598063778E+000,5.0966114600798240E-001,0.0000000000000000E+000,0.0000000000000000E+000
5.4000000000000041E-002,9.8136175550950036E+000,5.3959710325332677E-001,0.0000000000000000E+000,0.0000000000000000E+000
5.7000000000000044E-002,9.8133100985842123E+000,5.6952546269050031E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.0000000000000046E-002,9.8124376983908856E+000,5.9944579897126893E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.3000000000000042E-002,9.8107429482121074E+000,6.2935768686142524E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.6000000000000045E-002,9.8079758158500834E+000,6.5926070124683234E-001,0.0000000000000000E+000,0.0000000000000000E+000
6.9000000000000047E-002,9.8038958662829483E+000,6.8915441713946501E-001,0.0000000000000000E+000,0.0000000000000000E+000
7.2000000000000050E-002,9.7982743995492143E+000,7.1903840968345079E-001,0.0000000000000000E+000,0.0000000000000000E+000
7.5000000000000053E-002,9.7908964844698350E+000,7.4891225416110729E-001,0.0000000000000000E+000,0.0000000000000000E+000
7.8000000000000055E-002,9.7815628701563533E+000,7.7877552599897837E-001,0.0000000000000000E+000,0.0000000000000000E+000
8.1000000000000058E-002,9.7700917583384044E+000,8.0862780077386887E-001,0.0000000000000000E+000,0.0000000000000000E+000
8.4000000000000061E-002,9.7563204207792129E+000,8.3846865421887595E-001,0.0000000000000000E+000,0.0000000000000000E+000
